-16,-5,63
-36,-6,53
-40,-2,49
-40,-3,41
-42,0,30
-54,-6,16
-59,-7,15
-59,-7,16
-57,-5,14
-57,-4,16
-61,-3,17
-64,-4,16
-64,-1,17
-67,1,21
-74,-3,15
-65,-3,12
-67,-7,9
-47,0,23
-72,-4,19
-67,-2,15
-59,-2,12
-53,4,14
-55,7,7
-51,11,6
-67,11,4
-76,8,1
-52,-4,6
-47,-8,11
-51,-11,25
-60,-13,32
-58,-12,38
-36,-14,57
-35,-15,62
-48,-12,57
-46,-10,57
-44,-6,53
-38,-4,53
-39,-4,50
-39,-2,43
-35,0,40
-29,3,33
-33,9,35
-122,3,43
-36,-9,56
-54,0,38
-45,-2,52
-42,1,54
-46,3,43
-48,3,40
-51,2,39
-51,2,40
-51,2,39
-50,3,40
-50,3,39
-51,3,38
-51,2,38
-51,2,38
-51,1,39
-51,2,39
-51,2,39
-50,2,40
-51,2,40
-50,2,40
-50,2,41
-50,2,40
-50,2,39
-50,3,39
-51,2,39
-51,3,39
-50,3,39
-51,3,39
-51,2,40
-50,3,40
-51,3,39
-50,3,39
-50,3,39
-51,3,39
-51,3,39
-51,3,39
-50,3,40
-50,3,41
-51,3,39
-51,3,39
-51,3,39
-51,3,39
-51,4,39
-51,4,39
-51,3,40
-50,3,39
-51,3,39
-51,4,39
-51,4,39
-51,4,38
-51,4,38
-52,4,38
-52,3,39
-52,3,38
-53,4,35
-54,4,34
-55,4,31
-60,4,26
-61,4,24
-60,3,20
-61,3,18
-66,4,15
-62,3,17
-66,4,16
-67,4,16
-68,2,20
-68,1,19
-70,0,20
-74,-2,21
-72,-1,21
-71,-4,22
-70,-4,22
-67,-8,21
-66,-9,19
-62,-10,18
-55,-13,22
-53,-14,21
-51,-14,18
-49,-15,21
-43,-18,25
-42,-19,22
-40,-18,26
-38,-15,33
-41,-14,35
-38,-11,34
-45,-10,35
-48,-8,39
-47,-7,39
-51,-5,38
-55,-2,38
-57,-2,37
-54,2,39
-50,5,47
-63,-1,41
-55,-3,40
-54,-4,36
-51,-4,36
-50,-3,38
-52,-2,37
-55,-1,36
-51,-3,40
-49,-4,40
-49,-6,40
-47,-6,42
-48,-7,40
-48,-7,39
-49,-6,41
-50,-7,43
-48,-7,44
-49,-7,40
-50,-6,40
-48,-3,44
-67,-10,40
-44,-8,46
-48,-7,38
-45,-5,41
-35,-10,48
-29,-9,49
-26,-13,50
-21,-15,53
-21,-14,55
-26,-17,59
-23,-17,59
-23,-16,59
-29,-16,57
-22,-15,61
-27,-14,57
-28,-15,56
-24,-15,57
-26,-19,50
-27,-14,54
-27,-15,53
-22,-16,57
-14,-9,67
-30,-13,62
-23,-14,63
-24,-14,59
-17,-13,60
-17,-14,60
-37,-21,45
-32,-17,36
-20,-16,66
-36,-5,54
-30,-4,55
-30,-2,53
-31,8,70
-15,-2,62
-14,1,64
-19,-1,63
-21,0,59
-31,4,62
-33,2,68
-23,2,77
-28,-1,70
-28,-4,67
-32,-8,64
-31,-10,61
-28,-12,50
-26,-13,44
-28,-11,44
-25,-12,43
-25,-9,37
-31,-5,40
-32,-4,38
-27,-1,40
-32,1,41
-32,5,47
-33,5,48
-36,11,51
-41,13,51
-40,13,54
-43,15,54
-40,15,55
-39,16,55
-37,15,55
-38,15,56
-36,15,57
-37,15,53
-37,14,54
-36,13,52
-36,13,51
-36,13,51
-34,13,51
-30,17,60
-32,15,54
-34,14,54
-35,14,53
-43,15,50
-42,13,50
-40,13,48
-34,14,49
-26,16,52
-26,15,50
-37,19,51
-48,24,48
-53,24,45
-28,27,52
-32,32,53
-25,27,49
-12,27,51
-6,16,51
14,8,59
16,8,58
24,3,57
27,2,56
33,1,55
36,-1,56
22,6,48
37,3,58
32,6,56
28,8,52
36,8,53
37,9,53
41,8,55
36,7,52
37,8,53
46,6,56
34,9,52
38,7,54
37,6,54
33,7,51
36,6,51
37,5,51
33,5,48
34,5,48
35,6,48
34,5,49
34,6,49
32,6,49
33,6,51
28,8,52
23,10,48
-6,17,25
8,17,37
12,11,48
10,7,63
17,1,73
9,4,83
6,7,78
1,8,72
-13,14,63
-16,16,59
-33,24,70
-30,25,75
-36,16,54
-36,20,48
-44,8,48
-35,10,47
-23,12,61
7,-4,77
25,-5,76
15,7,67
7,11,54
-11,14,38
-26,16,47
-28,15,65
-22,15,67
-32,15,71
-44,9,63
-51,17,54
-26,18,52
-17,21,51
-25,25,50
-27,24,47
-35,22,44
-39,24,59
-36,18,63
-23,11,60
-21,13,54
-25,14,47
-25,17,48
-46,26,51
-40,26,54
-32,24,51
-23,17,46
-31,16,49
-43,16,56
-38,16,56
-24,16,52
-25,16,52
-33,15,54
-32,17,54
-29,17,52
-31,18,51
-32,18,52
-31,18,53
-32,17,53
-30,18,52
-31,19,52
-31,18,52
-32,19,52
-32,19,52
-31,19,52
-32,18,52
-31,17,52
-31,17,52
-31,17,52
-35,20,54
-40,19,58
-46,27,64
-36,26,66
-19,6,74
-9,2,75
-21,-2,60
-13,-7,55
-9,-8,52
-8,-6,45
-7,-3,47
-14,2,51
-21,2,54
-28,4,58
-27,4,58
-33,6,54
-26,9,51
-25,11,50
-25,16,44
-20,16,42
-27,28,55
-44,37,75
-16,17,63
-23,14,58
-21,12,60
-22,11,63
-20,12,60
-25,15,57
-25,16,56
-25,16,55
-26,13,57
-23,13,60
