participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.forecast_bonus_data,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.risk_reward,player.dr,player.dmu,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
22,a4m9qv4w,31ulkmb6_57G,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.157275,1,,,0.0,22,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
23,k1z4699f,31ulkmb6_93Y,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.181588,1,,,0.0,23,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
24,t2946woj,31ulkmb6_02V,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.206257,1,,,0.0,24,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
25,cdhj1mjd,31ulkmb6_73C,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.231844,1,,,0.0,25,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
26,h195bh6b,31ulkmb6_34E,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.256579,1,,,0.0,26,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
27,qc5wydio,31ulkmb6_04G,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.281259,1,,,0.0,27,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
28,81aywnec,31ulkmb6_13W,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.332124,1,,,0.0,28,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
29,xl2j2c06,31ulkmb6_90F,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.384945,1,,,0.0,29,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
30,y4i4r6i3,31ulkmb6_16J,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.438115,1,,,0.0,30,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,14.0,3,0.4,52,0,1,1,31ulkmb6,2024-09-12,,,Market Experiment,0
1,9zzvwwot,6686ebe474531e4a1975636f,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:51.612548,1,,,1256.1,1,,0.0,106.6,4,-99,-99,0,0.0,106.6,5.33,1.6,113.53,4,14,15,15,14,2,4,7,12,1.0,2.5,,,0,0,1,0,20.5,1.75,9.0,8.75,28.0,42.0,57.0,56.0,,,,0.45880125951917744,3.3897785768377804,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
2,q15qfbqw,60f4a2d142c69dc1121b6dbf,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:52.631068,1,,,1083.42,2,,0.0,135.2,2,-99,-99,0,0.0,135.2,6.76,0.8,142.76,2,15,17,21,28,2,4,7,12,0.0,2.5,,,0,0,1,1,20.5,1.75,9.0,8.75,28.0,42.0,57.0,56.0,,,,0.8810372687220864,3.277329494843453,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
3,o6rqm26r,31ulkmb6_21A,0,368,368,payment,NonParticipantPage,2024-09-12 16:12:53.105591,1,,,0.0,3,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
4,qapuvuc0,5c95493ddd325800166f838a,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.042883,1,,,1218.49,4,,0.0,106.6,4,-99,-99,1,-15.0,91.6,4.58,2.0,98.18,5,13,13,16,16,2,4,7,12,2.0,2.5,,,0,0,0,0,20.5,1.75,9.0,8.75,28.0,42.0,57.0,82.0,,,,0.9522762269280305,3.628598995334745,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
5,6dsa3uub,6480bdf6d433e2e158870605,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.269652,1,,,1023.56,5,,0.0,106.6,4,-99,-99,-1,15.0,121.6,6.08,1.2,128.88,3,2,5,7,13,2,4,7,12,13.0,0.0,,,,0,,0,20.5,1.75,9.0,8.75,28.0,28.0,42.0,42.0,,,,0.14409857553276184,2.9369322412489547,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
6,zkj50deu,5b9c2c816f92f30001ecce7a,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.659454,1,,,1091.37,6,,0.0,106.6,4,-99,-99,-1,15.0,121.6,6.08,1.2,128.88,3,14,15,17,18,2,4,7,12,1.0,2.5,,,0,0,0,0,20.5,1.75,9.0,8.75,28.0,42.0,57.0,82.0,,,,0.9522762269280305,3.628598995334745,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
7,vu4x2lms,651c4484ba17050f6b716614,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:54.901593,1,,,1178.43,7,,0.0,78.0,6,-99,-99,2,-30.0,48.0,2.4,3.2,53.6,8,16,18,23,34,2,4,7,12,1.0,2.5,,,1,0,0,0,20.5,1.75,9.0,8.75,28.0,19.0,24.0,31.0,,,,-0.3626797727294487,2.953880049063604,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
8,ltxisr5x,65412ca42e0e2fbb27b8a7b2,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:55.187312,1,,,1432.39,8,,0.0,106.6,4,-99,-99,0,0.0,106.6,5.33,1.6,113.53,4,16,18,17,18,2,4,7,12,1.0,2.5,,,0,0,0,1,20.5,1.75,9.0,8.75,28.0,42.0,57.0,82.0,,,,1.1801905741510363,3.2142630166994763,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
9,q2mghs8c,5658000ca9872d0011e1ba26,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:55.873260,1,,,828.25,9,,0.0,106.6,4,-99,-99,3,-45.0,61.6,3.08,2.8,67.48,7,15,17,20,25,2,4,7,12,0.0,2.5,,,0,1,0,1,20.5,1.75,9.0,8.75,28.0,42.0,36.0,48.0,,,,0.8338181485209012,2.4740891454315967,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
10,yclbankj,666e02576e916cd782e9ae12,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:56.327978,1,,,1095.94,10,,0.0,92.3,5,-99,-99,0,0.0,92.3,4.62,2.0,98.92,5,15,16,17,20,2,4,7,12,0.0,2.5,,,1,1,0,1,20.5,1.75,9.0,8.75,28.0,19.0,15.0,17.0,,,,-0.7482734070548607,2.7495581776533786,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
11,gpjfls7m,6634fcc04fdb39573179fb61,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:57.229135,1,,,834.86,11,,0.0,106.6,4,-99,-99,0,0.0,106.6,5.33,1.6,113.53,4,15,20,34,14,2,4,7,12,0.0,2.5,,,0,0,1,1,20.5,1.75,9.0,8.75,28.0,42.0,57.0,56.0,,,,0.8810372687220864,3.277329494843453,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
12,1ziarpgw,6685abbd83e060274844e7f2,0,367,368,payment,FinalResultsPage,2024-09-12 16:12:59.444765,1,,,1067.13,12,,0.0,120.9,3,-99,-99,-1,15.0,135.9,6.8,0.8,143.5,2,15,16,21,27,2,4,7,12,0.0,2.5,,,0,0,0,0,20.5,1.75,9.0,8.75,28.0,42.0,57.0,82.0,,,,0.9522762269280305,3.628598995334745,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
