session,part_label,round,cash,shares,periods_until_auto_buy,periods_until_auto_sell,shares_transacted,trans_cost,cash_after_trade,interest_earned,dividend_earned,cash_result,shares_result,f0,f1,f2,f3,fcast_rnd_0,fcast_rnd_1,fcast_rnd_2,fcast_rnd_3,fcast_err_0,fcast_err_1,fcast_err_2,fcast_err_3,risk_1,risk_2,risk_3,risk_4,risk_rh,risk_rl,risk_sh,risk_sl,risk_phi_1,risk_phi_2,risk_phi_3,risk_phi_4,risk_reward,dose_r,dose_mu,is_mv,buy_quant,sell_quant,market_price,stock_value,equity
898aphuw,kfzc0i99_02E,2,124.8,3.0,-99,-99,-1,18.0,142.8,7.14,2.0,151.94,2.0,15.0,15.0,15.0,15.0,2.0,4.0,7.0,12.0,3.0,7.0,10.0,11.0,0.0,0.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.9115065828384312,3.306240074622527,False,0,1,16.0,48.0,172.8
898aphuw,667b252c7a8e4a841804560d,2,109.0,4.0,-99,-99,0,0.0,109.0,5.45,4.0,118.45,4.0,18.0,22.0,25.0,30.0,2.0,4.0,7.0,12.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.9115065828384312,3.306240074622527,False,4,0,16.0,64.0,173.0
898aphuw,66491e9882aaa64c5d0911d5,2,109.0,4.0,-99,-99,-1,18.0,127.0,6.35,3.0,136.35,3.0,16.0,16.0,17.0,17.0,2.0,4.0,7.0,12.0,2.0,6.0,8.0,9.0,0.0,0.0,1.0,0.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.5208756744001397,3.3641431875474472,False,0,1,16.0,64.0,173.0
898aphuw,61115178c8a4bbd5832f32ba,2,109.0,4.0,-99,-99,0,0.0,109.0,5.45,4.0,118.45,4.0,18.0,20.0,22.0,24.0,2.0,4.0,7.0,12.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.9115065828384312,3.306240074622527,False,2,1,16.0,64.0,173.0
898aphuw,663c18b624172c32a8dbb066,2,140.6,2.0,-99,-99,-2,36.0,176.6,8.83,0.0,185.43,0.0,8.0,9.0,14.0,24.0,2.0,4.0,7.0,12.0,10.0,13.0,11.0,2.0,0.0,0.0,0.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,86.0,,1.2025433152830642,3.2094602165882096,False,1,2,16.0,32.0,172.6
898aphuw,6595e3b4dc9090390e4edb5f,2,109.0,4.0,-99,-99,0,0.0,109.0,5.45,4.0,118.45,4.0,18.0,20.0,24.0,26.0,2.0,4.0,7.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,19.75,1.25,9.25,7.5,27.0,45.0,64.0,60.0,,0.9115065828384312,3.306240074622527,False,2,0,16.0,64.0,173.0
898aphuw,5700616b8a49c7000d0c73ad,3,149.63,2.0,-99,-99,-2,40.0,189.63,9.48,0.0,199.11,0.0,20.0,22.0,25.0,30.0,3.0,5.0,8.0,13.0,0.0,1.0,0.0,-4.0,0.0,1.0,0.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,47.0,61.0,,0.8105573942183273,2.51737091874195,False,2,2,18.0,36.0,185.63
898aphuw,5885f97f41da4500014d3645,3,46.85,8.0,-99,-99,0,0.0,46.85,2.34,8.0,57.19,8.0,20.0,22.0,30.0,43.0,3.0,5.0,8.0,13.0,0.0,1.0,-5.0,-17.0,0.0,0.0,,0.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,72.0,,0.6399031104273989,3.353969563207043,False,1,0,18.0,144.0,190.85
898aphuw,kfzc0i99_59A,3,118.45,4.0,-99,-99,-2,40.0,158.45,7.92,2.0,168.37,2.0,19.0,18.0,20.0,35.0,3.0,5.0,8.0,13.0,1.0,5.0,5.0,-9.0,0.0,,0.0,,18.5,1.25,11.0,8.5,37.0,55.0,55.0,72.0,,0.1445338402953804,2.960142189540848,False,1,2,18.0,72.0,190.45
898aphuw,5c9623dd35599200175642e4,3,118.45,4.0,-99,-99,0,0.0,118.45,5.92,4.0,128.37,4.0,18.0,18.0,20.0,22.0,3.0,5.0,8.0,13.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,95.0,,1.172317857960996,3.106839817083862,False,3,0,18.0,72.0,190.45
898aphuw,666e02576e916cd782e9ae12,3,151.94,2.0,-99,-99,0,0.0,151.94,7.6,2.0,161.54,2.0,20.0,19.0,18.0,15.0,3.0,5.0,8.0,13.0,0.0,4.0,7.0,11.0,0.0,0.0,0.0,0.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,95.0,,0.9675764319446142,3.619603984710664,False,0,1,18.0,36.0,187.94
898aphuw,kfzc0i99_82W,3,149.63,2.0,-99,-99,-2,40.0,189.63,9.48,0.0,199.11,0.0,20.0,22.0,26.0,30.0,3.0,5.0,8.0,13.0,0.0,1.0,-1.0,-4.0,,0.0,0.0,1.0,18.5,1.25,11.0,8.5,37.0,37.0,55.0,72.0,,1.0153948896254688,3.4998451643927915,False,2,2,18.0,36.0,185.63
898aphuw,66429bad9e92786ee8928856,3,40.5,9.0,-99,-99,2,-40.0,0.5,0.03,11.0,11.53,11.0,18.0,22.0,20.0,22.0,3.0,5.0,8.0,13.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,18.5,1.25,11.0,8.5,37.0,25.0,20.0,18.0,,-1.1872998716237184,2.8982576078070736,False,2,0,18.0,162.0,202.5
898aphuw,kfzc0i99_50M,3,87.27,6.0,-99,-99,3,-60.0,27.27,1.36,9.0,37.63,9.0,21.0,27.0,30.0,35.0,3.0,5.0,8.0,13.0,-1.0,-4.0,-5.0,-9.0,,,,,18.5,1.25,11.0,8.5,37.0,37.0,37.0,37.0,,,,False,3,0,18.0,108.0,195.27
898aphuw,65412ca42e0e2fbb27b8a7b2,3,22.6,10.0,-99,-99,0,0.0,22.6,1.13,10.0,33.73,10.0,19.0,19.0,19.0,19.0,3.0,5.0,8.0,13.0,1.0,4.0,6.0,7.0,0.0,0.0,1.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,69.0,,0.8834515647686981,3.323396480407602,False,0,0,18.0,180.0,202.6
898aphuw,5bf0b1ecaf38d100016bd609,3,180.81,0.0,-99,-99,0,0.0,180.81,9.04,0.0,189.85,0.0,18.0,19.0,21.0,25.0,3.0,5.0,8.0,13.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,69.0,,0.8834515647686981,3.323396480407602,False,5,0,18.0,0.0,180.81
