Temp,Sample,Timestamp,Time,1709836125
32.09,306,1709836201.50,13:30:01.50,
32.09,307,1709836201.75,13:30:01.75,
32.09,308,1709836202.00,13:30:02.00,
32.09,309,1709836202.25,13:30:02.25,
32.09,310,1709836202.50,13:30:02.50,
32.09,311,1709836202.75,13:30:02.75,
32.09,312,1709836203.00,13:30:03.00,
32.09,313,1709836203.25,13:30:03.25,
32.09,314,1709836203.50,13:30:03.50,
32.09,315,1709836203.75,13:30:03.75,
32.11,316,1709836204.00,13:30:04.00,
32.11,317,1709836204.25,13:30:04.25,
32.11,318,1709836204.50,13:30:04.50,
32.11,319,1709836204.75,13:30:04.75,
32.13,320,1709836205.00,13:30:05.00,
32.13,321,1709836205.25,13:30:05.25,
32.13,322,1709836205.50,13:30:05.50,
32.13,323,1709836205.75,13:30:05.75,
32.11,324,1709836206.00,13:30:06.00,
32.11,325,1709836206.25,13:30:06.25,
32.11,326,1709836206.50,13:30:06.50,
32.11,327,1709836206.75,13:30:06.75,
32.11,328,1709836207.00,13:30:07.00,
32.11,329,1709836207.25,13:30:07.25,
32.11,330,1709836207.50,13:30:07.50,
32.11,331,1709836207.75,13:30:07.75,
32.13,332,1709836208.00,13:30:08.00,
32.13,333,1709836208.25,13:30:08.25,
32.13,334,1709836208.50,13:30:08.50,
32.13,335,1709836208.75,13:30:08.75,
32.15,336,1709836209.00,13:30:09.00,
32.15,337,1709836209.25,13:30:09.25,
32.15,338,1709836209.50,13:30:09.50,
32.15,339,1709836209.75,13:30:09.75,
32.13,340,1709836210.00,13:30:10.00,
32.13,341,1709836210.25,13:30:10.25,
32.13,342,1709836210.50,13:30:10.50,
32.13,343,1709836210.75,13:30:10.75,
32.15,344,1709836211.00,13:30:11.00,
32.15,345,1709836211.25,13:30:11.25,
32.15,346,1709836211.50,13:30:11.50,
32.15,347,1709836211.75,13:30:11.75,
32.15,348,1709836212.00,13:30:12.00,
32.15,349,1709836212.25,13:30:12.25,
32.15,350,1709836212.50,13:30:12.50,
32.15,351,1709836212.75,13:30:12.75,
32.16,352,1709836213.00,13:30:13.00,
32.16,353,1709836213.25,13:30:13.25,
32.16,354,1709836213.50,13:30:13.50,
32.16,355,1709836213.75,13:30:13.75,
32.16,356,1709836214.00,13:30:14.00,
32.16,357,1709836214.25,13:30:14.25,
32.16,358,1709836214.50,13:30:14.50,
32.16,359,1709836214.75,13:30:14.75,
32.16,360,1709836215.00,13:30:15.00,
32.16,361,1709836215.25,13:30:15.25,
32.16,362,1709836215.50,13:30:15.50,
32.16,363,1709836215.75,13:30:15.75,
32.21,364,1709836216.00,13:30:16.00,
32.21,365,1709836216.25,13:30:16.25,
32.21,366,1709836216.50,13:30:16.50,
32.21,367,1709836216.75,13:30:16.75,
32.18,368,1709836217.00,13:30:17.00,
32.18,369,1709836217.25,13:30:17.25,
32.18,370,1709836217.50,13:30:17.50,
32.18,371,1709836217.75,13:30:17.75,
32.23,372,1709836218.00,13:30:18.00,
32.23,373,1709836218.25,13:30:18.25,
32.23,374,1709836218.50,13:30:18.50,
32.23,375,1709836218.75,13:30:18.75,
32.21,376,1709836219.00,13:30:19.00,
32.21,377,1709836219.25,13:30:19.25,
32.21,378,1709836219.50,13:30:19.50,
32.21,379,1709836219.75,13:30:19.75,
32.23,380,1709836220.00,13:30:20.00,
32.23,381,1709836220.25,13:30:20.25,
32.23,382,1709836220.50,13:30:20.50,
32.23,383,1709836220.75,13:30:20.75,
32.21,384,1709836221.00,13:30:21.00,
32.21,385,1709836221.25,13:30:21.25,
32.21,386,1709836221.50,13:30:21.50,
32.21,387,1709836221.75,13:30:21.75,
32.23,388,1709836222.00,13:30:22.00,
32.23,389,1709836222.25,13:30:22.25,
32.23,390,1709836222.50,13:30:22.50,
32.23,391,1709836222.75,13:30:22.75,
32.25,392,1709836223.00,13:30:23.00,
32.25,393,1709836223.25,13:30:23.25,
32.25,394,1709836223.50,13:30:23.50,
32.25,395,1709836223.75,13:30:23.75,
32.25,396,1709836224.00,13:30:24.00,
32.25,397,1709836224.25,13:30:24.25,
32.25,398,1709836224.50,13:30:24.50,
32.25,399,1709836224.75,13:30:24.75,
32.25,400,1709836225.00,13:30:25.00,
32.25,401,1709836225.25,13:30:25.25,
32.25,402,1709836225.50,13:30:25.50,
32.25,403,1709836225.75,13:30:25.75,
32.25,404,1709836226.00,13:30:26.00,
32.25,405,1709836226.25,13:30:26.25,
32.25,406,1709836226.50,13:30:26.50,
32.25,407,1709836226.75,13:30:26.75,
32.27,408,1709836227.00,13:30:27.00,
32.27,409,1709836227.25,13:30:27.25,
32.27,410,1709836227.50,13:30:27.50,
32.27,411,1709836227.75,13:30:27.75,
32.27,412,1709836228.00,13:30:28.00,
32.27,413,1709836228.25,13:30:28.25,
32.27,414,1709836228.50,13:30:28.50,
32.27,415,1709836228.75,13:30:28.75,
32.27,416,1709836229.00,13:30:29.00,
32.27,417,1709836229.25,13:30:29.25,
32.27,418,1709836229.50,13:30:29.50,
32.27,419,1709836229.75,13:30:29.75,
32.29,420,1709836230.00,13:30:30.00,
32.29,421,1709836230.25,13:30:30.25,
32.29,422,1709836230.50,13:30:30.50,
32.29,423,1709836230.75,13:30:30.75,
32.29,424,1709836231.00,13:30:31.00,
32.29,425,1709836231.25,13:30:31.25,
32.29,426,1709836231.50,13:30:31.50,
32.29,427,1709836231.75,13:30:31.75,
32.29,428,1709836232.00,13:30:32.00,
32.29,429,1709836232.25,13:30:32.25,
32.29,430,1709836232.50,13:30:32.50,
32.29,431,1709836232.75,13:30:32.75,
32.29,432,1709836233.00,13:30:33.00,
32.29,433,1709836233.25,13:30:33.25,
32.29,434,1709836233.50,13:30:33.50,
32.29,435,1709836233.75,13:30:33.75,
32.33,436,1709836234.00,13:30:34.00,
32.33,437,1709836234.25,13:30:34.25,
32.33,438,1709836234.50,13:30:34.50,
32.33,439,1709836234.75,13:30:34.75,
32.29,440,1709836235.00,13:30:35.00,
32.29,441,1709836235.25,13:30:35.25,
32.29,442,1709836235.50,13:30:35.50,
32.29,443,1709836235.75,13:30:35.75,
32.31,444,1709836236.00,13:30:36.00,
32.31,445,1709836236.25,13:30:36.25,
32.31,446,1709836236.50,13:30:36.50,
32.31,447,1709836236.75,13:30:36.75,
32.31,448,1709836237.00,13:30:37.00,
32.31,449,1709836237.25,13:30:37.25,
32.31,450,1709836237.50,13:30:37.50,
32.31,451,1709836237.75,13:30:37.75,
32.34,452,1709836238.00,13:30:38.00,
32.34,453,1709836238.25,13:30:38.25,
32.34,454,1709836238.50,13:30:38.50,
32.34,455,1709836238.75,13:30:38.75,
32.37,456,1709836239.00,13:30:39.00,
32.37,457,1709836239.25,13:30:39.25,
32.37,458,1709836239.50,13:30:39.50,
32.37,459,1709836239.75,13:30:39.75,
32.39,460,1709836240.00,13:30:40.00,
32.39,461,1709836240.25,13:30:40.25,
32.39,462,1709836240.50,13:30:40.50,
32.39,463,1709836240.75,13:30:40.75,
32.37,464,1709836241.00,13:30:41.00,
32.37,465,1709836241.25,13:30:41.25,
32.37,466,1709836241.50,13:30:41.50,
32.37,467,1709836241.75,13:30:41.75,
32.37,468,1709836242.00,13:30:42.00,
32.37,469,1709836242.25,13:30:42.25,
32.37,470,1709836242.50,13:30:42.50,
32.37,471,1709836242.75,13:30:42.75,
32.39,472,1709836243.00,13:30:43.00,
32.39,473,1709836243.25,13:30:43.25,
32.39,474,1709836243.50,13:30:43.50,
32.39,475,1709836243.75,13:30:43.75,
32.43,476,1709836244.00,13:30:44.00,
32.43,477,1709836244.25,13:30:44.25,
32.43,478,1709836244.50,13:30:44.50,
32.43,479,1709836244.75,13:30:44.75,
32.41,480,1709836245.00,13:30:45.00,
32.41,481,1709836245.25,13:30:45.25,
32.41,482,1709836245.50,13:30:45.50,
32.41,483,1709836245.75,13:30:45.75,
32.43,484,1709836246.00,13:30:46.00,
32.43,485,1709836246.25,13:30:46.25,
32.43,486,1709836246.50,13:30:46.50,
32.43,487,1709836246.75,13:30:46.75,
32.43,488,1709836247.00,13:30:47.00,
32.43,489,1709836247.25,13:30:47.25,
32.43,490,1709836247.50,13:30:47.50,
32.43,491,1709836247.75,13:30:47.75,
32.45,492,1709836248.00,13:30:48.00,
32.45,493,1709836248.25,13:30:48.25,
32.45,494,1709836248.50,13:30:48.50,
32.45,495,1709836248.75,13:30:48.75,
32.43,496,1709836249.00,13:30:49.00,
32.43,497,1709836249.25,13:30:49.25,
32.43,498,1709836249.50,13:30:49.50,
32.43,499,1709836249.75,13:30:49.75,
32.45,500,1709836250.00,13:30:50.00,
32.45,501,1709836250.25,13:30:50.25,
32.45,502,1709836250.50,13:30:50.50,
32.45,503,1709836250.75,13:30:50.75,
32.49,504,1709836251.00,13:30:51.00,
32.49,505,1709836251.25,13:30:51.25,
32.49,506,1709836251.50,13:30:51.50,
32.49,507,1709836251.75,13:30:51.75,
32.49,508,1709836252.00,13:30:52.00,
32.49,509,1709836252.25,13:30:52.25,
32.49,510,1709836252.50,13:30:52.50,
32.49,511,1709836252.75,13:30:52.75,
32.49,512,1709836253.00,13:30:53.00,
32.49,513,1709836253.25,13:30:53.25,
32.49,514,1709836253.50,13:30:53.50,
32.49,515,1709836253.75,13:30:53.75,
32.5,516,1709836254.00,13:30:54.00,
32.5,517,1709836254.25,13:30:54.25,
32.5,518,1709836254.50,13:30:54.50,
32.5,519,1709836254.75,13:30:54.75,
32.5,520,1709836255.00,13:30:55.00,
32.5,521,1709836255.25,13:30:55.25,
32.5,522,1709836255.50,13:30:55.50,
32.5,523,1709836255.75,13:30:55.75,
32.49,524,1709836256.00,13:30:56.00,
32.49,525,1709836256.25,13:30:56.25,
32.49,526,1709836256.50,13:30:56.50,
32.49,527,1709836256.75,13:30:56.75,
32.53,528,1709836257.00,13:30:57.00,
32.53,529,1709836257.25,13:30:57.25,
32.53,530,1709836257.50,13:30:57.50,
32.53,531,1709836257.75,13:30:57.75,
32.55,532,1709836258.00,13:30:58.00,
32.55,533,1709836258.25,13:30:58.25,
32.55,534,1709836258.50,13:30:58.50,
32.55,535,1709836258.75,13:30:58.75,
32.55,536,1709836259.00,13:30:59.00,
32.55,537,1709836259.25,13:30:59.25,
32.55,538,1709836259.50,13:30:59.50,
32.55,539,1709836259.75,13:30:59.75,
32.55,540,1709836260.00,13:31:00.00,
32.55,541,1709836260.25,13:31:00.25,
32.55,542,1709836260.50,13:31:00.50,
32.55,543,1709836260.75,13:31:00.75,
32.55,544,1709836261.00,13:31:01.00,
32.55,545,1709836261.25,13:31:01.25,
32.55,546,1709836261.50,13:31:01.50,
32.55,547,1709836261.75,13:31:01.75,
32.59,548,1709836262.00,13:31:02.00,
32.59,549,1709836262.25,13:31:02.25,
32.59,550,1709836262.50,13:31:02.50,
32.59,551,1709836262.75,13:31:02.75,
32.59,552,1709836263.00,13:31:03.00,
32.59,553,1709836263.25,13:31:03.25,
32.59,554,1709836263.50,13:31:03.50,
32.59,555,1709836263.75,13:31:03.75,
32.57,556,1709836264.00,13:31:04.00,
32.57,557,1709836264.25,13:31:04.25,
32.57,558,1709836264.50,13:31:04.50,
32.57,559,1709836264.75,13:31:04.75,
32.59,560,1709836265.00,13:31:05.00,
32.59,561,1709836265.25,13:31:05.25,
32.59,562,1709836265.50,13:31:05.50,
32.59,563,1709836265.75,13:31:05.75,
32.57,564,1709836266.00,13:31:06.00,
32.57,565,1709836266.25,13:31:06.25,
32.57,566,1709836266.50,13:31:06.50,
32.57,567,1709836266.75,13:31:06.75,
32.59,568,1709836267.00,13:31:07.00,
32.59,569,1709836267.25,13:31:07.25,
32.59,570,1709836267.50,13:31:07.50,
32.59,571,1709836267.75,13:31:07.75,
32.59,572,1709836268.00,13:31:08.00,
32.59,573,1709836268.25,13:31:08.25,
32.59,574,1709836268.50,13:31:08.50,
32.59,575,1709836268.75,13:31:08.75,
32.61,576,1709836269.00,13:31:09.00,
32.61,577,1709836269.25,13:31:09.25,
32.61,578,1709836269.50,13:31:09.50,
32.61,579,1709836269.75,13:31:09.75,
32.59,580,1709836270.00,13:31:10.00,
32.59,581,1709836270.25,13:31:10.25,
32.59,582,1709836270.50,13:31:10.50,
32.59,583,1709836270.75,13:31:10.75,
32.63,584,1709836271.00,13:31:11.00,
32.63,585,1709836271.25,13:31:11.25,
32.63,586,1709836271.50,13:31:11.50,
32.63,587,1709836271.75,13:31:11.75,
32.63,588,1709836272.00,13:31:12.00,
32.63,589,1709836272.25,13:31:12.25,
32.63,590,1709836272.50,13:31:12.50,
32.63,591,1709836272.75,13:31:12.75,
32.61,592,1709836273.00,13:31:13.00,
32.61,593,1709836273.25,13:31:13.25,
32.61,594,1709836273.50,13:31:13.50,
32.61,595,1709836273.75,13:31:13.75,
32.65,596,1709836274.00,13:31:14.00,
32.65,597,1709836274.25,13:31:14.25,
32.65,598,1709836274.50,13:31:14.50,
32.65,599,1709836274.75,13:31:14.75,
32.65,600,1709836275.00,13:31:15.00,
32.65,601,1709836275.25,13:31:15.25,
32.65,602,1709836275.50,13:31:15.50,
32.65,603,1709836275.75,13:31:15.75,
32.65,604,1709836276.00,13:31:16.00,
32.65,605,1709836276.25,13:31:16.25,
32.65,606,1709836276.50,13:31:16.50,
32.65,607,1709836276.75,13:31:16.75,
32.63,608,1709836277.00,13:31:17.00,
32.63,609,1709836277.25,13:31:17.25,
32.63,610,1709836277.50,13:31:17.50,
32.63,611,1709836277.75,13:31:17.75,
32.65,612,1709836278.00,13:31:18.00,
32.65,613,1709836278.25,13:31:18.25,
